validity_metric,nlp_metric,r,p,model
alpha,mean_focal,0.2177716245932929,0.02107827679236412,bow_lsa
alpha,mean_focal_rank,0.012788264119696418,0.8935406071465043,bow_lsa
alpha,min_focal,0.1817653684916313,0.0551042097805189,bow_lsa
alpha,min_focal_rank,-0.029236289914062207,0.7596030016235624,bow_lsa
alpha,max_focal,0.20044511294621797,0.0340845441790558,bow_lsa
alpha,max_focal_rank,0.09782494679437738,0.3048297105187335,bow_lsa
alpha,median_focal,0.23657973966598156,0.012025477996615984,bow_lsa
alpha,median_focal_rank,0.03004076001434123,0.7531975766177297,bow_lsa
alpha,htd,0.1988088103688026,0.03560446029059534,bow_lsa
psa,mean_focal,0.2711282868539618,0.00383371840434331,bow_lsa
psa,mean_focal_rank,0.12101504163157083,0.20372432147639277,bow_lsa
psa,min_focal,0.2541331191989749,0.006853872673456581,bow_lsa
psa,min_focal_rank,0.14653470998596269,0.12314286747086353,bow_lsa
psa,max_focal,0.18664648023466074,0.048784177633682375,bow_lsa
psa,max_focal_rank,-0.01531997405690455,0.872627506469569,bow_lsa
psa,median_focal,0.27954474552350983,0.002835941180822732,bow_lsa
psa,median_focal_rank,0.10617910180528378,0.2651757877116571,bow_lsa
psa,htd,0.334267653872707,0.0003157068513899669,bow_lsa
csv,mean_focal,0.27169342841778954,0.0037579799168676277,bow_lsa
csv,mean_focal_rank,0.11824270704871578,0.21435244936053746,bow_lsa
csv,min_focal,0.2550374414597381,0.006651345325664455,bow_lsa
csv,min_focal_rank,0.14467198108715534,0.1280324736720676,bow_lsa
csv,max_focal,0.18493118928517935,0.0509330071030964,bow_lsa
csv,max_focal_rank,-0.016366774064601533,0.8640051979740969,bow_lsa
csv,median_focal,0.28082176909222867,0.00270695096519867,bow_lsa
csv,median_focal_rank,0.10401403304581111,0.27509891560739547,bow_lsa
csv,htd,0.3345274825902823,0.00031211477117095565,bow_lsa
htc,mean_focal,0.27120505034707965,0.003823351162742136,bow_lsa
htc,mean_focal_rank,-0.08001431412042753,0.4016724960619242,bow_lsa
